key	shard
visual_head.headnorm.weight	model-00015-of-00015.safetensors
visual_head.heads.0.bias	model-00015-of-00015.safetensors
visual_head.heads.0.weight	model-00007-of-00015.safetensors
visual_head.heads.1.bias	model-00015-of-00015.safetensors
visual_head.heads.1.weight	model-00007-of-00015.safetensors
visual_head.heads.2.bias	model-00015-of-00015.safetensors
visual_head.heads.2.weight	model-00007-of-00015.safetensors
visual_head.heads.3.bias	model-00015-of-00015.safetensors
visual_head.heads.3.weight	model-00007-of-00015.safetensors
visual_head.heads.4.bias	model-00015-of-00015.safetensors
visual_head.heads.4.weight	model-00007-of-00015.safetensors
visual_head.heads.5.bias	model-00015-of-00015.safetensors
visual_head.heads.5.weight	model-00007-of-00015.safetensors
visual_head.heads.6.bias	model-00015-of-00015.safetensors
visual_head.heads.6.weight	model-00008-of-00015.safetensors
visual_head.heads.7.bias	model-00015-of-00015.safetensors
visual_head.heads.7.weight	model-00008-of-00015.safetensors
visual_head.hidden_norm.weight	model-00015-of-00015.safetensors
visual_head.hidden_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.0.layernorm1.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.layernorm2.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.linear1.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.linear1.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.0.linear2.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.linear2.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.k_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.out_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.out_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.q_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.q_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.v_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.0.self_attention.v_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.1.layernorm1.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.layernorm2.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.linear1.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.linear1.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.1.linear2.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.linear2.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.k_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.out_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.out_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.q_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.q_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.v_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.1.self_attention.v_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.2.layernorm1.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.layernorm2.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.linear1.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.linear1.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.2.linear2.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.linear2.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.k_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.out_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.out_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.q_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.q_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.v_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.2.self_attention.v_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.3.layernorm1.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.layernorm2.weight	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.linear1.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.linear1.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.3.linear2.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.linear2.weight	model-00007-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.k_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.out_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.out_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.q_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.q_proj.weight	model-00008-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.v_proj.bias	model-00015-of-00015.safetensors
visual_head.transformer_layers.3.self_attention.v_proj.weight	model-00008-of-00015.safetensors
